filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	115884b7-ee7c-4a12-813a-23d6e1da0ef6	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	158	36.449749	2.867500	2294	FALSE	36.614750	2162	2.702500	1126	6.799246	0.000000	88.555344	10.702599
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	ec0b8ee8-21b0-4fe4-9f04-bb67c610c78b	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	466	123.631500	1.239750	991	TRUE	123.687752	946	1.183500	421	11.407284	0.000000	87.519608	11.738327
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	027ae9f0-7e51-4862-8f90-bed175799104	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	59	16.450750	1.136750	909	TRUE	16.515751	857	1.071750	385	11.087311	0.000000	86.656494	10.184731
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	308129e6-4f41-4112-abde-972cf2bc1ddb	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	412	114.712502	22.332750	17866	TRUE	114.785004	17808	22.260250	8772	10.245576	0.000000	86.483871	10.184723
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	c990f482-6906-45bd-aacb-20ed81fa7528	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	22	68.906998	3.155250	2524	TRUE	68.906998	2524	3.155250	1168	10.427034	0.000000	87.864853	8.803749
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	f6d27b2a-c7f8-4334-bbf3-16759ce8346b	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	397	58.184250	3.273000	2618	TRUE	58.248001	2567	3.209250	1243	9.892932	0.000000	85.966003	10.184731
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	cca69cf8-0066-44bc-bab0-bbd36c531817	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	241	110.359253	7.400250	5920	TRUE	110.391747	5894	7.367750	2584	10.487808	0.000000	81.305199	10.529976
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	e0933092-8589-417b-985c-c6deaa6ad2bd	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	353	109.931000	2.763000	2210	TRUE	110.069748	2099	2.624250	907	10.720783	0.000000	83.721916	10.012100
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	939d50d3-a546-45c4-bba0-c2a539c2b0f5	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	210	41.300499	0.690750	552	TRUE	41.371750	495	0.619500	259	10.664482	0.000000	91.662552	9.666862
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	f9ae7eaa-5ee6-4f2d-8192-a0c605276a7b	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	90	118.724503	1.927250	1541	TRUE	118.754501	1517	1.897250	506	8.490619	0.000000	84.585030	10.529968
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	4404a51d-9a03-4128-9fa7-18ec1f5a0fa4	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	380	44.398998	2.288250	1830	TRUE	44.477749	1767	2.209500	1047	9.114645	0.000000	82.858803	9.666855
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	af7ac50d-4606-462e-8293-c6785caed12f	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	277	64.667000	7.395500	5916	FALSE	64.773247	5831	7.289250	2344	4.909184	0.000000	54.548710	8.458504
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	cfc39609-d1a5-4172-9316-ac36a05a1c8a	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	366	64.878250	1.434000	1147	FALSE	65.192001	896	1.120250	273	5.916061	0.000000	88.900589	9.494240
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	5df52752-c074-4af8-afa2-1806fb3b10db	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	432	32.841000	2.283000	1826	TRUE	32.878502	1796	2.245500	822	11.712479	0.000000	81.132576	10.012108
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	cee78b67-bdc1-4213-83b4-fb6337d3ad24	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	471	110.123253	1.150500	920	TRUE	110.223251	840	1.050500	468	10.590525	0.000000	86.483871	8.285881
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	1b2e4aa6-4ca8-4487-bc7d-1ae8f86138da	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	146	120.768997	0.891250	713	TRUE	120.936501	579	0.723750	267	8.607089	0.000000	84.930267	10.357346
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	7b736357-281b-423b-84d3-2de60b0f3181	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	292	88.740250	0.877750	702	TRUE	88.821503	637	0.796500	293	9.285986	0.000000	83.376671	8.803741
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	780b6ff4-2d72-4fac-ab3a-118d70f52f65	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	105	13.664000	4.165250	3332	TRUE	13.689000	3312	4.140250	1526	10.934755	0.000000	86.138626	10.702591
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	9f96dcdf-d7a2-449b-b9f2-905ccfa389e2	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	410	35.058998	2.390500	1912	FALSE	35.141499	1846	2.308000	508	4.420598	0.000000	58.346405	8.803749
